scenario_id,variant,passed,decision_match_at_1,constraint_violation,ticket_field_accuracy,observed_primary_exception,expected_primary_exception,exception_match,fifo_break_justified,audit_complete,decision_status,recommended_truck,recommended_destination,fifo_break,rejected_count,tool_call_count,tool_call_success,tool_path,tool_error_count,planner_step_count,latency_ms_preprocess,latency_ms_model,latency_ms_rules,latency_ms_audit,latency_ms_total
B1_PUBLIC_TEST_FROZEN_025_S07_VEHICLE_INCOMPAT,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-002,DST-NARROW-01,True,1,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_025_S07_VEHICLE_INCOMPAT,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-002,DST-NARROW-01,True,1,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_026_S08_REDUCED_CAPACITY,raw_fifo,True,True,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_026_S08_REDUCED_CAPACITY,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_026_S08_REDUCED_CAPACITY,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_026_S08_REDUCED_CAPACITY,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_027_S09_HUMAN_OVERRIDE,raw_fifo,True,True,False,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_027_S09_HUMAN_OVERRIDE,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_027_S09_HUMAN_OVERRIDE,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_027_S09_HUMAN_OVERRIDE,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,3,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_028_S10_FIFO_BREAK_JUSTIFIED,raw_fifo,True,False,True,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-001,DST-OPEN-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_028_S10_FIFO_BREAK_JUSTIFIED,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-005,DST-COV-01,True,9,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_028_S10_FIFO_BREAK_JUSTIFIED,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-005,DST-COV-01,True,9,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_028_S10_FIFO_BREAK_JUSTIFIED,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-005,DST-COV-01,True,9,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_029_S16_ALL_DESTINATIONS_BLOCKED,raw_fifo,True,False,False,0.0,NO_CONTEXT,SYSTEM_BLOCK,False,False,False,REVIEW_REQUIRED,TRK-061,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_029_S16_ALL_DESTINATIONS_BLOCKED,fifo_safe,True,True,False,0.0,SYSTEM_BLOCK,SYSTEM_BLOCK,True,False,True,BLOCKED,,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_029_S16_ALL_DESTINATIONS_BLOCKED,heuristic,True,True,False,0.375,SYSTEM_BLOCK,SYSTEM_BLOCK,True,False,True,BLOCKED,,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_029_S16_ALL_DESTINATIONS_BLOCKED,full,True,True,False,0.375,SYSTEM_BLOCK,SYSTEM_BLOCK,True,False,True,BLOCKED,,,False,0,4,True,validate_hard_constraints,0,2,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_030_S17_OVERRIDE_INELIGIBLE_PAIR,raw_fifo,True,True,False,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-171,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_030_S17_OVERRIDE_INELIGIBLE_PAIR,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-171,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_030_S17_OVERRIDE_INELIGIBLE_PAIR,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-171,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_030_S17_OVERRIDE_INELIGIBLE_PAIR,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-171,DST-COV-01,False,3,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_031_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,raw_fifo,True,True,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-181,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_031_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-181,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_031_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-181,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_031_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-181,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_032_S19_TIE_BREAK_EQUAL_SCORE,raw_fifo,True,False,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,REVIEW_REQUIRED,TRK-071,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_032_S19_TIE_BREAK_EQUAL_SCORE,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-071,DST-A-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_032_S19_TIE_BREAK_EQUAL_SCORE,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-071,DST-A-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_032_S19_TIE_BREAK_EQUAL_SCORE,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-071,DST-A-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_033_S20_LARGE_QUEUE_100_TRUCKS,raw_fifo,True,False,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,REVIEW_REQUIRED,TRK-001,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_033_S20_LARGE_QUEUE_100_TRUCKS,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_033_S20_LARGE_QUEUE_100_TRUCKS,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_033_S20_LARGE_QUEUE_100_TRUCKS,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_034_S01_BASELINE,raw_fifo,True,True,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_034_S01_BASELINE,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_034_S01_BASELINE,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_034_S01_BASELINE,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_035_S02_RAIN_OPEN,raw_fifo,True,False,True,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-001,DST-OPEN-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_035_S02_RAIN_OPEN,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_035_S02_RAIN_OPEN,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_035_S02_RAIN_OPEN,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_036_S04_CONVEYOR_DOWN,raw_fifo,True,False,True,0.0,NO_CONTEXT,RESOURCE_UNAVAILABLE,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_036_S04_CONVEYOR_DOWN,fifo_safe,True,True,False,0.0,RESOURCE_UNAVAILABLE,RESOURCE_UNAVAILABLE,True,False,True,PREVIEW_READY,TRK-001,DST-ALT-01,False,2,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_036_S04_CONVEYOR_DOWN,heuristic,True,True,False,1.0,RESOURCE_UNAVAILABLE,RESOURCE_UNAVAILABLE,True,False,True,PREVIEW_READY,TRK-001,DST-ALT-01,False,2,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_036_S04_CONVEYOR_DOWN,full,True,True,False,1.0,RESOURCE_UNAVAILABLE,RESOURCE_UNAVAILABLE,True,False,True,PREVIEW_READY,TRK-001,DST-ALT-01,False,2,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_037_S05_CONTRACT_PRIORITY,raw_fifo,True,False,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_037_S05_CONTRACT_PRIORITY,fifo_safe,True,False,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_037_S05_CONTRACT_PRIORITY,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_037_S05_CONTRACT_PRIORITY,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_038_S07_VEHICLE_INCOMPAT,raw_fifo,True,False,True,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-001,DST-NARROW-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_038_S07_VEHICLE_INCOMPAT,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-002,DST-NARROW-01,True,1,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_038_S07_VEHICLE_INCOMPAT,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-002,DST-NARROW-01,True,1,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_038_S07_VEHICLE_INCOMPAT,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-002,DST-NARROW-01,True,1,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_039_S08_REDUCED_CAPACITY,raw_fifo,True,True,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_039_S08_REDUCED_CAPACITY,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_039_S08_REDUCED_CAPACITY,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_039_S08_REDUCED_CAPACITY,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_040_S09_HUMAN_OVERRIDE,raw_fifo,True,True,False,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_040_S09_HUMAN_OVERRIDE,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_040_S09_HUMAN_OVERRIDE,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_040_S09_HUMAN_OVERRIDE,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,3,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_041_S10_FIFO_BREAK_JUSTIFIED,raw_fifo,True,False,True,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-001,DST-OPEN-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_041_S10_FIFO_BREAK_JUSTIFIED,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-005,DST-COV-01,True,9,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_041_S10_FIFO_BREAK_JUSTIFIED,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-005,DST-COV-01,True,9,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_041_S10_FIFO_BREAK_JUSTIFIED,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-005,DST-COV-01,True,9,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_042_S16_ALL_DESTINATIONS_BLOCKED,raw_fifo,True,False,False,0.0,NO_CONTEXT,SYSTEM_BLOCK,False,False,False,REVIEW_REQUIRED,TRK-061,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_042_S16_ALL_DESTINATIONS_BLOCKED,fifo_safe,True,True,False,0.0,SYSTEM_BLOCK,SYSTEM_BLOCK,True,False,True,BLOCKED,,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_042_S16_ALL_DESTINATIONS_BLOCKED,heuristic,True,True,False,0.375,SYSTEM_BLOCK,SYSTEM_BLOCK,True,False,True,BLOCKED,,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_042_S16_ALL_DESTINATIONS_BLOCKED,full,True,True,False,0.375,SYSTEM_BLOCK,SYSTEM_BLOCK,True,False,True,BLOCKED,,,False,0,4,True,validate_hard_constraints,0,2,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_043_S17_OVERRIDE_INELIGIBLE_PAIR,raw_fifo,True,True,False,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-171,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_043_S17_OVERRIDE_INELIGIBLE_PAIR,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-171,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_043_S17_OVERRIDE_INELIGIBLE_PAIR,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-171,DST-COV-01,False,3,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_043_S17_OVERRIDE_INELIGIBLE_PAIR,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-171,DST-COV-01,False,3,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_044_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,raw_fifo,True,True,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-181,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_044_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-181,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_044_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-181,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_044_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-181,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_045_S19_TIE_BREAK_EQUAL_SCORE,raw_fifo,True,False,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,REVIEW_REQUIRED,TRK-071,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_045_S19_TIE_BREAK_EQUAL_SCORE,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-071,DST-A-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_045_S19_TIE_BREAK_EQUAL_SCORE,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-071,DST-A-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_045_S19_TIE_BREAK_EQUAL_SCORE,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-071,DST-A-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_046_S20_LARGE_QUEUE_100_TRUCKS,raw_fifo,True,False,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,REVIEW_REQUIRED,TRK-001,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_046_S20_LARGE_QUEUE_100_TRUCKS,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_046_S20_LARGE_QUEUE_100_TRUCKS,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_046_S20_LARGE_QUEUE_100_TRUCKS,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_047_S01_BASELINE,raw_fifo,True,True,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_047_S01_BASELINE,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_047_S01_BASELINE,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_047_S01_BASELINE,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_048_S02_RAIN_OPEN,raw_fifo,True,False,True,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-001,DST-OPEN-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_048_S02_RAIN_OPEN,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_048_S02_RAIN_OPEN,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_048_S02_RAIN_OPEN,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_049_S04_CONVEYOR_DOWN,raw_fifo,True,False,True,0.0,NO_CONTEXT,RESOURCE_UNAVAILABLE,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_049_S04_CONVEYOR_DOWN,fifo_safe,True,True,False,0.0,RESOURCE_UNAVAILABLE,RESOURCE_UNAVAILABLE,True,False,True,PREVIEW_READY,TRK-001,DST-ALT-01,False,2,0,False,,0,0,0,0,0,0,0
